Team Name;M;W;D;L;G;GA;PTS;xG;xGA;xPTS;Squad Value
Manchester City;38;29;6;3;99;26;93;93.4;25.21;91.88;€1.05bn
Liverpool;38;28;8;2;94;26;92;93.02;32.73;86.56;€706.6m
Chelsea;38;21;11;6;76;33;74;69.3;35.12;73.38;€660.0m
Tottenham;38;22;5;11;69;40;71;67.95;43.7;66.09;€564.9m
Arsenal;38;22;3;13;61;48;69;63.39;48.39;64.76;€792.3m
Manchester United;38;16;10;12;57;57;58;57.21;56.85;54.52;€602.6m
West Ham;38;16;8;14;60;51;56;54.98;53.88;53.56;€334.1m
Leicester;38;14;10;14;62;59;52;49.49;66.11;42.31;€443.9
Brighton;38;12;15;11;42;44;51;49.57;47.21;54.18;€422.9m
Wolverhampton Wanderers;38;15;6;17;38;43;51;39.04;58.48;40.54;€350.3m
Newcastle United;38;13;10;15;44;62;49;41.53;62.71;41.53;€375.1m
Crystal Palace;38;11;15;12;50;46;48;48.84;41.33;58.15;€276.2m
Brentford;38;13;7;18;48;56;46;52.89;49.5;56.0;€319.1m
Aston Villa;38;13;6;19;52;54;45;43.13;53.1;46.2;€443.8m
Southampton;38;9;13;16;43;67;40;47.35;64.56;43.45;€245.4m
Everton;38;11;6;21;43;66;39;44.47;60.69;43.54;€287.3m
Leeds;38;9;11;18;42;79;38;51.19;71.31;43.86;€274.3m
Burnley;38;7;14;17;34;53;35;41.11;60.22;38.1;€145.1m
Watford;38;6;5;27;34;77;23;39.34;67.53;35.45;€100.8m
Norwich;38;5;7;26;23;84;22;31.51;80.08;25.4;€121.4m
